age,income,score
46,92931.19,54.18
38,74380.75,55.96
48,75552.85,46.63
58,80710.49,55.62
37,69258.59,28.02
37,64687.82,58.1
59,104853.73,68.3
49,86341.4,49.86
34,70292.75,66.65
47,64737.55,68.98
34,74419.39,34.03
34,57580.86,41.09
43,98484.23,54.62
18,20000.0,25.9
19,57990.94,65.11
33,55847.49,49.04
28,34997.77,41.03
44,61398.16,23.74
29,41850.36,56.81
23,43941.02,29.39
58,97224.21,66.64
37,50330.53,54.27
41,63850.19,75.03
23,69488.59,36.86
33,79114.26,14.41
41,71541.46,59.94
26,42852.17,74.63
45,71563.03,75.77
33,61391.27,56.94
36,42407.62,40.09
33,48308.63,61.54
62,71312.25,42.5
40,68745.4,63.39
27,53669.14,58.81
50,70558.01,72.76
25,64634.62,96.27
43,48373.06,55.34
18,20000.0,32.37
24,42459.43,47.1
42,82249.98,34.21
49,,56.76
42,59201.37,46.93
39,77098.54,51.17
36,57002.51,54.62
22,33797.19,32.26
31,63297.7,71.25
34,64493.35,54.83
53,58382.32,52.65
44,91333.23,58.86
19,51966.65,52.98
44,59450.07,65.53
35,62005.57,40.99
32,58225.86,42.87
47,77920.28,54.75
52,73303.41,37.58
51,69688.69,44.27
30,,42.03
36,75025.11,71.46
44,77116.74,62.98
52,75000.6,61.24
34,,68.08
38,,37.94
27,60317.46,59.3
26,20000.0,38.45
50,72188.85,61.38
56,70617.27,48.13
39,42283.6,10.85
52,98475.99,64.14
44,62493.93,75.51
32,56585.4,66.09
44,68801.31,70.75
58,97840.27,84.49
40,63507.46,55.83
59,71918.7,60.27
18,44944.0,39.05
50,70387.9,52.05
41,41218.12,56.31
36,51196.14,68.46
41,87163.09,60.3
18,42753.33,
37,,51.28
44,64189.16,63.75
58,84777.57,39.93
34,84822.36,27.16
30,54176.15,43.13
34,60419.0,35.16
51,94931.49,57.36
44,72499.36,55.28
34,49578.68,43.06
46,69293.57,78.22
41,,59.46
52,79877.28,64.47
32,61277.49,63.09
36,57881.27,35.54
35,66931.65,71.23
22,35445.98,44.01
44,69509.69,66.56
43,37725.98,29.83
40,76836.96,35.64
37,,66.93
23,52493.48,56.48
35,20000.0,26.47
36,88156.76,49.67
30,46465.16,65.7
38,,41.07
45,54674.33,76.2
63,106142.95,55.21
42,50341.17,59.69
43,58279.37,47.83
39,90370.44,72.5
